date,ward_id,chlorine_level,bacteria_count
2023-01-01,1,0.81,17
2023-01-02,1,0.47,12
2023-01-03,1,0.32,13
2023-01-04,1,0.77,15
2023-01-05,1,0.39,8
2023-01-06,1,0.64,21
2023-01-07,1,0.66,25
2023-01-08,1,0.41,14
2023-01-09,1,0.78,25
2023-01-10,1,0.48,21
2023-01-11,1,0.36,22
2023-01-12,1,0.33,16
2023-01-13,1,0.56,14
2023-01-14,1,0.53,19
2023-01-15,1,0.71,26
2023-01-16,1,0.25,24
2023-01-17,1,0.64,11
2023-01-18,1,0.49,8
2023-01-19,1,0.21,22
2023-01-20,1,0.47,23
2023-01-21,1,0.85,23
2023-01-22,1,0.59,17
2023-01-23,1,0.55,10
2023-01-24,1,0.53,12
2023-01-25,1,0.47,16
2023-01-26,1,0.78,14
2023-01-27,1,0.69,12
2023-01-28,1,0.62,24
2023-01-29,1,0.66,16
2023-01-30,1,0.52,13
2023-01-31,1,0.81,20
2023-02-01,1,0.71,18
2023-02-02,1,0.37,13
2023-02-03,1,0.66,15
2023-02-04,1,0.47,19
2023-02-05,1,0.44,12
2023-02-06,1,0.61,16
2023-02-07,1,0.71,20
2023-02-08,1,0.58,17
2023-02-09,1,0.78,19
2023-02-10,1,0.34,17
2023-02-11,1,0.82,11
2023-02-12,1,0.52,11
2023-02-13,1,0.61,19
2023-02-14,1,0.3,10
2023-02-15,1,0.75,21
2023-02-16,1,0.12,15
2023-02-17,1,0.74,11
2023-02-18,1,0.7,12
2023-02-19,1,0.52,19
2023-02-20,1,0.72,15
2023-02-21,1,0.6,23
2023-02-22,1,0.34,16
2023-02-23,1,0.68,12
2023-02-24,1,0.46,16
2023-02-25,1,0.57,14
2023-02-26,1,0.2,6
2023-02-27,1,0.3,23
2023-02-28,1,0.26,14
2023-03-01,1,0.7,15
2023-03-02,1,0.65,17
2023-03-03,1,0.75,15
2023-03-04,1,0.72,16
2023-03-05,1,0.64,16
2023-03-06,1,0.13,11
2023-03-07,1,0.61,17
2023-03-08,1,0.76,25
2023-03-09,1,0.3,25
2023-03-10,1,0.57,20
2023-03-11,1,0.44,16
2023-03-12,1,0.65,13
2023-03-13,1,0.41,14
