date,rainfall,temperature,humidity
2023-01-01,0.17,30.5,37.5
2023-01-02,0.0,31.7,37.1
2023-01-03,0.0,30.7,31.3
2023-01-04,0.13,28.6,55.9
2023-01-05,0.0,27.1,32.9
2023-01-06,0.0,29.4,34.3
2023-01-07,0.0,33.1,34.3
2023-01-08,0.54,25.2,59.7
2023-01-09,0.0,27.0,54.9
2023-01-10,0.0,33.3,47.3
2023-01-11,0.0,30.9,58.6
2023-01-12,0.0,26.3,54.1
2023-01-13,0.06,30.4,52.4
2023-01-14,0.54,25.2,40.1
2023-01-15,0.0,25.0,41.3
2023-01-16,0.0,34.7,40.2
2023-01-17,0.0,26.9,52.1
2023-01-18,0.0,34.6,56.7
2023-01-19,0.0,27.6,59.2
2023-01-20,0.0,26.9,59.8
2023-01-21,4.53,27.5,49.3
2023-01-22,0.0,34.8,38.0
2023-01-23,0.01,25.1,46.8
2023-01-24,0.0,27.8,37.5
2023-01-25,0.38,29.4,59.4
2023-01-26,0.0,29.5,55.4
2023-01-27,0.0,29.7,33.1
2023-01-28,1.7,33.4,37.7
2023-01-29,0.0,26.1,32.7
2023-01-30,0.0,28.4,31.7
2023-01-31,0.0,25.4,40.8
2023-02-01,0.0,25.8,52.7
2023-02-02,3.27,31.7,55.5
2023-02-03,0.89,29.1,54.4
2023-02-04,0.0,28.4,47.4
2023-02-05,0.08,30.6,34.5
2023-02-06,1.76,26.9,50.7
2023-02-07,0.0,30.3,36.1
2023-02-08,0.0,31.9,30.7
2023-02-09,0.14,32.8,36.3
2023-02-10,0.0,30.3,57.7
2023-02-11,1.26,31.9,30.1
2023-02-12,0.0,26.9,57.8
2023-02-13,0.01,30.1,39.2
2023-02-14,0.0,33.1,58.5
2023-02-15,0.01,34.0,43.0
2023-02-16,0.38,28.2,49.5
2023-02-17,0.0,25.7,38.5
2023-02-18,0.0,32.6,52.8
2023-02-19,0.27,25.1,38.5
2023-02-20,0.0,26.4,51.5
2023-02-21,0.02,33.8,36.6
2023-02-22,0.22,31.3,52.9
2023-02-23,0.02,34.6,32.7
2023-02-24,2.96,28.8,53.8
2023-02-25,0.01,26.1,56.3
2023-02-26,0.0,26.2,35.0
